Dataset,Group,Seq,th,ACC,PREC,Rec,F1(macro),F1(weighted),AUC,ASA,FAR
Darknet2020,DK_EXP1_BASE,10,0.412554,0.9774,0.3333,0.3258,0.3295,0.9886,0.5,0,0.0226
Darknet2020,DK_EXP2_DRIFT1,10,0.515,0.9925,0.5,0.4962,0.4981,0.9962,0.5,0,0.0075
Darknet2020,DK_EXP3_DRIFT2,10,0.46923,0.985,0.5,0.4925,0.4962,0.9924,0.5,0,0.015
Darknet2020,DK_EXP4_NOEDGE,10,0.445351,0.9398,0.5,0.4699,0.4845,0.969,0.5,0,0.0602
Darknet2020,DK_EXP1_BASE,10,0.437991,0.1111,0.5,0.0556,0.1,0.2,0.5,0,0.8889
Darknet2020,DK_EXP1_BASE,10,0.412549,0.9774,0.3333,0.3258,0.3295,0.9886,0.5,0,0.0226
Darknet2020,DK_EXP2_DRIFT1,10,0.515078,0.9925,0.5,0.4962,0.4981,0.9962,0.5,0,0.0075
Darknet2020,DK_EXP3_DRIFT2,10,0.469267,0.985,0.5,0.4925,0.4962,0.9924,0.5,0,0.015
Darknet2020,DK_EXP4_NOEDGE,10,0.445683,0.9398,0.5,0.4699,0.4845,0.969,0.5,0,0.0602
Darknet2020,DK_EXP1_BASE,10,0.437665,0.1111,0.5,0.0556,0.1,0.2,0.5,0,0.8889
Darknet2020,DK_EXP2_DRIFT1,10,0.423511,0.9848,0.3333,0.3283,0.3308,0.9924,0.5,0,0.0152
Darknet2020,DK_EXP3_DRIFT2,10,0.362299,0.9646,0.3333,0.3215,0.3273,0.982,0.5,0,0.0354
Darknet2020,DK_EXP1_BASE,10,0.412667,0.9774,0.3333,0.3258,0.3295,0.9886,0.5,0,0.0226
Darknet2020,DK_EXP2_DRIFT1,10,0.514837,0.9925,0.5,0.4962,0.4981,0.9962,0.5,0,0.0075
Darknet2020,DK_EXP3_DRIFT2,10,0.469174,0.985,0.5,0.4925,0.4962,0.9924,0.5,0,0.015
Darknet2020,DK_EXP4_NOEDGE,10,0.445829,0.9474,0.5,0.4737,0.4865,0.973,0.5,0,0.0526
Darknet2020,DK_EXP1_BASE,10,0.438011,0.1111,0.5,0.0556,0.1,0.2,0.5,0,0.8889
Darknet2020,DK_EXP2_DRIFT1,10,0.419956,0.9848,0.3333,0.3283,0.3308,0.9924,0.5,0,0.0152
Darknet2020,DK_EXP3_DRIFT2,10,0.362554,0.9646,0.3333,0.3215,0.3273,0.982,0.5,0,0.0354
Darknet2020,DK_EXP1_BASE,10,0.412144,0.9774,0.3333,0.3258,0.3295,0.9886,0.5,0,0.0226
Darknet2020,DK_EXP2_DRIFT1,10,0.514661,0.9925,0.5,0.4962,0.4981,0.9962,0.5,0,0.0075
Darknet2020,DK_EXP3_DRIFT2,10,0.469206,0.985,0.5,0.4925,0.4962,0.9924,0.5,0,0.015
Darknet2020,DK_EXP4_NOEDGE,10,0.445439,0.9398,0.5,0.4699,0.4845,0.969,0.5,0,0.0602
